BulSA,BulSO,CzeSA,CzeSO,SloSA,SloSO,CatSA,CatSO,ItaSA,ItaSO,RomSA,RomSO
0.94876695,0.11178277,0.94409597,0.18255053,0.9522911,0.1857987,0.9664456,0.15136391,0.9573516,0.15924516,0.94621223,0.15638424
0.9652222,0.102585696,0.9597244,0.10699464,0.9635293,0.1220178,0.97598046,0.095875,0.97046804,0.10469457,0.9662405,0.11905741
0.97044164,0.10641723,0.9510611,0.11533649,0.96844053,0.11076938,0.97131807,0.15650143,0.973314,0.0835981,0.9665364,0.10302326
0.9576727,0.1037261,0.9636757,0.13997823,0.961296,0.10927357,0.97491455,0.117365636,0.9639418,0.06595153,0.96258104,0.0714856
0.96873313,0.08140702,0.96335316,0.09720144,0.95223105,0.09820116,0.9818163,0.07501873,0.97707236,0.09923878,0.95811975,0.1232019
0.9511606,0.081982456,0.94214535,0.09151788,0.95352626,0.10469262,0.9690106,0.09731202,0.97659785,0.096581414,0.957092,0.07859401
0.9679159,0.09167736,0.95482713,0.062225606,0.961344,0.089898996,0.9703244,0.12970166,0.97578007,0.07964569,0.94507796,0.109438695
0.95732105,0.07364076,0.9507888,0.079226896,0.95034736,0.0956826,0.9692489,0.08938965,0.9673784,0.06658642,0.96034527,0.05722832
0.9650713,0.08433287,0.9368426,0.06963954,0.94083256,0.07234286,0.9697332,0.09908551,0.95465547,0.08826516,0.94463116,0.05274803
0.959309,0.1093894,0.9343749,0.09336408,0.9460444,0.09833836,0.95969856,0.108261175,0.9406426,0.095031,0.95052725,0.10225854
0.9466486,0.15161775,0.92540395,0.12329037,0.9250381,0.12564646,0.9504974,0.09079586,0.9466527,0.124161355,0.91724503,0.1060211
0.95528543,0.16126701,0.9140821,0.116568714,0.9199502,0.112544194,0.9607232,0.091149986,0.9304069,0.11448365,0.94150645,0.09314635
0.9357095,0.13947842,0.9089053,0.096777536,0.9254649,0.11696226,0.961139,0.07429962,0.93225753,0.12622082,0.93111575,0.11833729